Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-4.601580963,1.927242279,10.53808594,11.65933383
0.009809,-4.351451111,1.712438965,11.69862259,12.59862471
0.019619,-3.753444672,1.263073425,11.75565399,12.40480158
0.029428,-1.858385468,0.773142242,12.33614685,12.49927456
0.039237,-3.276536407,0.175884247,13.48395996,13.87745662
0.049047,-3.93965744,-0.073347473,11.72781189,12.37205934
0.058854,-4.017345886,0.151634674,11.86507645,12.52765342
0.068668,-3.881877594,0.579894104,12.0753891,12.69725453
0.078477,-3.256029053,0.718206482,11.75924652,12.22282392
0.088287,-2.348017273,0.413140869,10.56592804,10.83156064
0.098098,-1.854493561,0.238454132,8.916957092,9.110879789
0.107907,-1.904489594,0.02574646,7.682025146,7.914622786
0.117717,-2.092498627,-0.05029541,6.432573395,6.764545854
0.127528,-1.807042236,-0.52301239,5.904621277,6.197055432
0.137336,-1.502575378,-1.358574829,6.11717926,6.443860678
0.147144,-1.527872772,-2.21733902,6.261329498,6.815807701
0.156954,-1.46021347,-3.334316254,6.350843353,7.320047784
0.166762,-1.59478363,-4.174069977,6.659800873,8.019921612
0.17657,-1.879641266,-4.711302795,7.971223755,9.448271454
0.186349,-2.086062012,-4.955445099,8.707841949,10.23399249
0.196187,-2.372117157,-4.816384277,8.993448029,10.47409207
0.205996,-2.957100677,-5.520819397,9.022188263,10.98288543
0.215805,-3.353177032,-6.46475647,9.109007721,11.66237086
0.225613,-3.78637619,-6.82745224,9.69414093,12.44697221
0.235422,-5.499114532,-6.560557251,15.04177048,17.30710927
0.245229,-14.30724792,-8.14725769,37.27219208,40.74667414
0.255037,-10.70858139,0.393082581,19.27541656,22.05379589
0.264847,-6.305038605,2.935395813,11.34131561,13.30396558
0.274655,-5.442232819,3.958817596,16.68834641,17.99419463
0.284465,-5.539380798,2.601739655,21.44829803,22.30433315
0.294273,-4.851710815,1.22505249,22.33849686,22.89210111
0.304082,-2.334395599,2.443219299,21.30639313,21.57269365
0.31389,-0.603993988,3.364403687,20.9285788,21.205882
0.3237,1.444795532,3.117716675,18.64447861,18.95848554
0.333509,3.345842285,7.192393341,22.23745697,23.60994865
0.343318,3.210523682,7.877817993,24.39671677,25.83732315
0.353129,2.372865601,5.853278046,25.04501862,25.82913689
0.362936,0.046104126,6.436465302,31.50229065,32.1531418
0.372748,-2.113305359,7.236551514,35.02266998,35.82486776
0.382558,-2.616558838,7.977061615,32.75937653,33.81799288
0.392367,-3.709885254,7.242988129,32.50176224,33.50505446
0.402178,-1.227148132,3.742966461,33.27879639,33.51110233
0.411988,-0.829125824,4.394262085,32.23606476,32.54475165
0.421798,-1.013692017,3.754941559,32.78617081,33.01605903
0.431607,-0.865200806,1.706750793,33.31547012,33.37037789
0.441418,-1.688638458,-0.28201355,31.96123627,32.00705633
0.451226,-3.188818817,-1.38776413,29.83400986,30.03602169
0.461036,0.059875488,-3.428919525,27.90751602,28.11744165
0.470848,0.468675385,-3.466341705,23.84451508,24.09971121
0.480657,-0.218395844,-4.646936646,19.41971649,19.96915385
0.490464,0.383352814,-5.235812073,15.90921661,16.75302542
0.500277,-0.647703094,-6.01658844,12.49436783,13.88265404
0.510087,-0.519868927,-6.877148895,9.464219055,11.7105458
0.519894,-0.108075256,-7.49087265,6.214925995,9.733969306
0.529702,0.750389557,-8.236472168,3.434458008,8.95533696
0.539514,1.107546844,-8.512947235,0.97701828,8.640109684
0.549325,1.407073975,-8.866661682,-1.092128906,9.043798544
0.559136,0.408500519,-8.728349304,-1.96930481,8.957070709
0.568945,-0.279768219,-8.18243454,-2.108365631,8.454330895
0.578753,-0.263601837,-9.358987885,-1.62876297,9.503315683
0.588561,0.045804749,-10.33166519,-1.43805954,10.43136707
0.59837,0.785267029,-11.63904648,-1.098864899,11.71714775
0.608179,1.286724243,-12.78835648,-1.510957947,12.94143402
0.617988,1.599723358,-13.46165634,-2.364932098,13.76111224
0.627797,1.659898224,-13.37813004,-3.441942444,13.91318055
0.637605,1.631756744,-12.84613632,-4.365671539,13.6654651
0.647414,1.655257874,-12.36773117,-5.340594177,13.5728626
0.657221,1.498084717,-11.62916702,-6.157894592,13.24392122
0.667008,1.409468994,-10.4271666,-6.606062622,12.42386693
0.67684,1.624871063,-9.196276245,-6.863527222,11.58963799
0.68665,2.015558624,-8.591084747,-7.067552948,11.30572945
0.696459,2.240241394,-7.478149109,-6.69752243,10.28582531
0.706268,2.66550705,-6.705156555,-6.465654602,9.68858822
0.716078,3.011737061,-6.400689697,-6.516099701,9.617637134
0.72589,3.190615082,-5.835764465,-6.521787872,9.315035617
0.735698,2.946023712,-4.661456451,-6.005960541,8.15351421
0.745509,2.728975067,-3.791166229,-5.144501953,6.9488234
0.755317,2.644550629,-3.625610504,-4.323908386,6.231764059
0.765127,2.724783783,-3.952380981,-3.570375366,5.982753742
0.774936,2.66430954,-3.841910706,-2.781964874,5.440418344
0.784745,2.658172302,-3.396586761,-2.06525528,4.782045691
0.794555,2.807112579,-3.034190369,-1.57846756,4.424675363
0.804365,2.925067291,-2.961291962,-1.342258759,4.37343427
0.814174,2.752625885,-2.986739044,-1.046922913,4.194473384
0.823983,2.236648865,-2.869383087,-0.671204224,3.699523288
0.833791,1.472787323,-2.609523468,-0.292342072,3.010677518
0.843596,0.601748657,-2.275118866,-0.144898682,2.357808925
0.853408,-0.311053162,-1.778601379,-0.046104126,1.806184522
0.863216,-1.70016449,-0.518222351,0.227077789,1.791836494
0.873024,-3.208577728,1.655557251,0.391585693,3.631691094
0.882832,-5.505850525,4.921016693,0.528251495,7.403367135
0.892641,-7.534581757,8.827443237,0.133073273,11.60652337
0.90245,-9.588161316,12.59450958,-0.319884796,15.83214563
0.912258,-10.644814,16.43312714,-0.515677643,19.58636403
0.922063,-10.79180832,19.46462311,-0.44936554,22.26065158
